Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR004604	DNA recombination/repair protein RecN	interpro	family		PIRSF003128,TIGR00634,PTHR11059	GO:0005524,GO:0006281,GO:0006310
IPR004605	Holliday junction branch migration complex subunit RuvB	interpro	family		PTHR42848,MF_00016,TIGR00635	GO:0003677,GO:0005524,GO:0009378,GO:0006281,GO:0006310
IPR004609	ATP-dependent DNA helicase RecG	interpro	family		TIGR00643	GO:0003678,GO:0006281,GO:0006310
IPR004611	DNA primase-related protein	interpro	family		TIGR00646	
IPR004615	DNA polymerase III, psi subunit	interpro	family		PIRSF029225,PF03603	GO:0003887,GO:0008408,GO:0006260
IPR004622	DNA polymerase III, delta prime subunit	interpro	domain		TIGR00678	GO:0003887,GO:0008408,GO:0006260
IPR004645	DNA-binding protein Tfx, archaea	interpro	family		TIGR00721	GO:0003677
IPR004805	Error-prone DNA polymerase/DNA polymerase III subunit alpha DnaE/PolC	interpro	family		PTHR32294,TIGR00594	GO:0008408,GO:0006260
IPR004868	DNA-directed DNA polymerase, family B, mitochondria/virus	interpro	domain		PF03175	GO:0000166,GO:0003677,GO:0003887,GO:0006260
IPR004947	Deoxyribonuclease II	interpro	family		PTHR10858,PF03265	GO:0004531,GO:0006259
IPR004968	DNA primase/nucleoside triphosphatase, C-terminal	interpro	domain		PF03288	
IPR004973	DNA-directed RNA polymerase, 18kDa subunit, poxviral	interpro	family		PF03293	GO:0003677,GO:0003899,GO:0019083
IPR004996	DNA helicase/primase complex-associated protein	interpro	family		MF_04010,PF03324	GO:0019079
IPR005059	DNA-directed RNA polymerase, 35kDa subunit, poxviral	interpro	family		PF03396,PIRSF000746	GO:0003677,GO:0003899,GO:0019083
IPR005101	Cryptochrome/DNA photolyase, FAD-binding domain	interpro	domain		PF03441	
IPR005104	Winged helix-turn-helix transcription repressor, HrcA DNA-binding domain	interpro	domain		PF03444	GO:0003677,GO:0006355
IPR005122	Uracil-DNA glycosylase-like	interpro	domain		SM00986,PF03167	
IPR005273	Uracil-DNA glycosylase family 4	interpro	domain		TIGR03914,TIGR00758	
IPR005319	Peptidase S48, DNA-binding transcriptional activator HetR	interpro	family		MF_00781,PF03574	GO:0003677,GO:0004252,GO:0043158
IPR005376	Adenovirus DNA-binding, zinc-binding domain	interpro	domain		PF03728	GO:0003677,GO:0008270,GO:0006260
IPR005379	Factor of DNA methylation 1-5/IDN2 , domain XH	interpro	domain		PF03469	
IPR005412	DNA-binding protein Fis	interpro	family		MF_00166,PIRSF002097,PR01591	GO:0003677,GO:0006355
IPR005559	CG-1 DNA-binding domain	interpro	domain		SM01076,PS51437,PF03859	GO:0003677
IPR005569	Arc-like DNA binding domain	interpro	domain		PF03869	GO:0003677
IPR005570	DNA-directed RNA polymerases I, II, and III subunit RPABC3	interpro	family		PF03870,SM00658,PIRSF000779,PTHR10917	GO:0003899,GO:0006351
IPR005583	DNA-binding and peroxide stress resistance protein YaaA	interpro	family		PF03883,PTHR30283,MF_00652	
IPR005584	DNA gyrase inhibitor YacG	interpro	family		PTHR36150,MF_00649,PF03884	GO:0008270
IPR005733	DNA topoisomerase I, bacterial-type	interpro	family		TIGR01051	GO:0003677,GO:0003917,GO:0006265
IPR005734	DNA topoisomerase VI, subunit B	interpro	family		MF_00322,TIGR01052,PIRSF006553	GO:0003677,GO:0003918,GO:0005524,GO:0006265
IPR005737	DNA topoisomerase IV, subunit B, Gram-negative	interpro	family		MF_00938,TIGR01055,PR01098	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005738	DNA topoisomerase III	interpro	family		MF_00953,TIGR01056	GO:0003677,GO:0003916,GO:0006265
IPR005739	DNA topoisomerase I, archeal-type	interpro	family		TIGR01057	GO:0003677,GO:0003916,GO:0006265
IPR005740	DNA topoisomerase 4 subunit B, Firmicutes/Mollicutes	interpro	family		MF_00939,TIGR01058	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005741	DNA topoisomerase IV subunit A, Gram-positive	interpro	family		MF_00937,TIGR01061	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005742	DNA topoisomerase IV, subunit A, Gram-negative	interpro	family		MF_00936	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005743	DNA gyrase, subunit A	interpro	family		MF_01897	GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0005694
IPR005748	DNA mismatch repair protein MutS	interpro	family		MF_00096,TIGR01070	GO:0005524,GO:0030983,GO:0006298
IPR005751	ATP-dependent DNA helicase PcrA	interpro	family		TIGR01073	GO:0003678,GO:0006268,GO:0005737
IPR005752	ATP-dependent DNA helicase Rep	interpro	family		MF_01920,TIGR01074	GO:0003677,GO:0003678,GO:0005524,GO:0006268
IPR005753	DNA helicase, ATP-dependent, UvrD type	interpro	family		TIGR01075	GO:0003678,GO:0006268,GO:0005737
IPR005790	DNA polymerase III, delta subunit	interpro	family		TIGR01128	GO:0003677,GO:0006260
IPR005902	Putative DNA-binding protein, HU-related	interpro	family		TIGR01201	
IPR006050	DNA photolyase, N-terminal	interpro	domain		PS51645,PF00875	
IPR006054	DNA polymerase III epsilon subunit, exonuclease domain	interpro	domain		TIGR00573	GO:0003677,GO:0003887,GO:0006260
IPR006085	XPG, N-terminal	interpro	domain		SM00485,PF00752	GO:0004518
IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain	interpro	domain		PF03104	
IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	interpro	domain		PF00136	GO:0000166,GO:0003677
IPR006167	DNA repair protein XPF	interpro	family		TIGR00596	GO:0003697,GO:0004520,GO:0006281
IPR006172	DNA-directed DNA polymerase, family B	interpro	family		SM00486,PR00106	GO:0000166,GO:0003676,GO:0003887
IPR006199	LexA repressor, DNA-binding domain	interpro	domain		PF01726	GO:0004252,GO:0006508
IPR006293	DNA helicase, ATP-dependent, RecQ type, bacterial	interpro	family		TIGR01389	GO:0003678,GO:0006310,GO:0009432
IPR006295	DNA primase, DnaG	interpro	domain		TIGR01391	GO:0003896,GO:0006269
IPR006308	DNA polymerase III, alpha subunit, PolC-type, Gram-positive bacteria	interpro	family		MF_00356,TIGR01405	GO:0003677,GO:0003887,GO:0006260,GO:0005737
IPR006309	DNA polymerase 3, epsilon subunit	interpro	family		cd06131,TIGR01406	GO:0003677,GO:0003887,GO:0006260
IPR006343	DnaD domain	interpro	domain		PF07261,TIGR01446	
IPR006345	ATP-dependent RecD2 DNA helicase	interpro	family		TIGR01448,MF_01488	GO:0003677,GO:0043139,GO:0032508
IPR006600	HTH CenpB-type DNA-binding domain	interpro	domain		PS51253,SM00674,PF03221	
IPR006691	DNA gyrase/topoisomerase IV, subunit A, C-terminal repeat	interpro	repeat		PF03989	GO:0003677,GO:0003916,GO:0005524,GO:0006265
IPR006754	Poxvirus I3 ssDNA-binding	interpro	family		PF04661,PIRSF003767	GO:0003697
IPR006779	DNA binding protein S1FA	interpro	family		PTHR35298,PF04689	GO:0003677,GO:0006355,GO:0005634
IPR006821	Intermediate filament head, DNA-binding domain	interpro	domain		PF04732	GO:0005882
IPR006824	DNA helicase, Baculovirus	interpro	family		PF04735	GO:0003678,GO:0019079
IPR006871	ssDNA-binding protein, baculovirus	interpro	family		PF04786	
IPR006886	DNA-directed RNA polymerase III subunit Rpc5	interpro	family		PTHR12069,PF04801	GO:0006351,GO:0005634
IPR007013	DNA polymerase processivity factor, herpesviridae	interpro	family		PF04929	
IPR007015	DNA polymerase V/Myb-binding protein 1A	interpro	family		PF04931,PTHR13213	GO:0003677,GO:0008134,GO:0006355,GO:0005730
IPR007085	DNA/pantothenate metabolism flavoprotein, C-terminal	interpro	domain		PF04127	
IPR007120	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain	interpro	domain		PF00562	GO:0003677,GO:0003899,GO:0006351
IPR007185	DNA polymerase alpha/delta/epsilon, subunit B	interpro	domain		PF04042	GO:0003677,GO:0006260
IPR007218	DNA polymerase delta, subunit 4	interpro	family		PTHR14303,PF04081	GO:0000731,GO:0006260
IPR007232	DNA repair protein Rad52/59/22	interpro	family		PTHR12132	GO:0006281,GO:0006310
IPR007238	DNA primase large subunit, eukaryotic/archaeal	interpro	family		PF04104,PTHR10537	GO:0006269
IPR007257	DNA replication complex GINS protein Psf2	interpro	family		PIRSF028998,PTHR12772	GO:0006260,GO:0005634
IPR007281	Mre11, DNA-binding	interpro	domain		SM01347,PF04152	GO:0004519,GO:0030145,GO:0006302,GO:0005634
IPR007376	dsDNA mimic, putative	interpro	family		MF_00680,PIRSF004916,PF04269	
IPR007459	DNA polymerase III chi subunit, HolC	interpro	family		PTHR38767,PF04364	GO:0003677,GO:0003887,GO:0006260
IPR007492	LytTR DNA-binding domain	interpro	domain		PS50930,SM00850,PF04397	GO:0003677
IPR007634	RNA polymerase sigma factor 54, DNA-binding	interpro	domain		PF04552	GO:0001216
IPR007692	DNA helicase, DnaB type	interpro	family		TIGR00665	GO:0003677,GO:0003678,GO:0005524,GO:0006260
IPR007693	DNA helicase, DnaB-like, N-terminal	interpro	domain		PF00772	GO:0003678,GO:0005524,GO:0006260
IPR007694	DNA helicase, DnaB-like, C-terminal	interpro	domain		cd00984,PS51199,PF03796	GO:0003678,GO:0005524,GO:0006260
IPR007695	DNA mismatch repair protein MutS-like, N-terminal	interpro	domain		PF01624	GO:0005524,GO:0030983,GO:0006298
IPR007696	DNA mismatch repair protein MutS, core	interpro	domain		PF05192,SM00533	GO:0005524,GO:0030983,GO:0006298
IPR007811	DNA-directed RNA polymerase III subunit RPC4	interpro	family		PTHR13408,PF05132	GO:0003677,GO:0006383,GO:0005666
IPR007837	DNA damage-inducible protein DinB	interpro	family		PTHR37302,PF05163	
IPR007860	DNA mismatch repair protein MutS, connector domain	interpro	domain		PF05188	GO:0005524,GO:0030983,GO:0006298
IPR007861	DNA mismatch repair protein MutS, clamp	interpro	domain		PF05190	GO:0005524,GO:0030983,GO:0006298
IPR007889	DNA binding HTH domain, Psq-type	interpro	domain		PS50960,PF04218,PF05225	GO:0003677
IPR007984	DNA-directed RNA polymerase, 19kDa subunit, poxviral	interpro	family		PF05320,PIRSF000743	GO:0003677,GO:0003899,GO:0006351
IPR008029	Bacteriophage T7, Gp3, endodeoxynuclease I	interpro	family		cd22324,PF05367	GO:0008833,GO:0015074,GO:0016032
IPR008045	DNA replication licensing factor Mcm2	interpro	family		PF12619,PR01658	GO:0003677,GO:0005524,GO:0006270,GO:1905775,GO:0005634,GO:0042555
IPR008046	DNA replication licensing factor Mcm3	interpro	family		PR01659	GO:0003677,GO:0005524,GO:0006270,GO:0042555
IPR008048	DNA replication licensing factor Mcm5	interpro	family		PR01661	GO:0003688,GO:0005524,GO:0006270,GO:0005634,GO:0042555
IPR008049	DNA replication licensing factor Mcm6	interpro	family		PR01662	GO:0003677,GO:0003678,GO:0005524,GO:0006270,GO:0005634,GO:0042555
IPR008050	DNA replication licensing factor Mcm7	interpro	family		cd17758,PR01663	GO:0003677,GO:0003678,GO:0005524,GO:0006270,GO:0042555
IPR008116	Sequence-specific single-strand DNA-binding protein	interpro	family		PR01743	GO:0003697
IPR008148	DNA photolyase class 2	interpro	family		TIGR00591	GO:0003904,GO:0006281
IPR008193	DNA-directed RNA polymerase Rpb11, 13-16kDa subunit, conserved site	interpro	conserved_site		PS01154	GO:0003677,GO:0003899,GO:0006351
IPR008332	Methylguanine DNA methyltransferase, ribonuclease-like domain	interpro	domain		PF02870	GO:0003908,GO:0006281
IPR008336	DNA topoisomerase I, DNA binding, eukaryotic-type	interpro	domain		PF02919	GO:0003677,GO:0003917,GO:0006265
IPR008448	DNA-directed RNA polymerase, 7kDa polypeptide, chordopoxviral	interpro	family		PF05864	GO:0003677,GO:0003899,GO:0006351
IPR008468	DNA methyltransferase 1-associated 1	interpro	domain		PF05499	GO:0045892,GO:0005634
IPR008593	DNA N-6-adenine-methyltransferase	interpro	family		PF05869,TIGR01712	GO:0003677,GO:0009007,GO:0009307
IPR008770	DNA terminal protein Gp3	interpro	family		PF05435,PIRSF004179	GO:0006260,GO:0006269
IPR008784	Podovirus DNA packaging protein	interpro	family		PF05894	
IPR008865	DNA replication terminus site-binding protein	interpro	family		MF_00483,PF05472,TIGR02648	GO:0003677,GO:0006274,GO:0005737
IPR008917	Transcription factor, Skn-1-like, DNA-binding domain superfamily	interpro	homologous_superfamily		SSF47454	GO:0003677,GO:0006355
IPR008921	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	interpro	homologous_superfamily		SSF48019	GO:0003677,GO:0006260
IPR008967	p53-like transcription factor, DNA-binding domain superfamily	interpro	homologous_superfamily		SSF49417	GO:0003700,GO:0006355
IPR008971	HSP40/DnaJ peptide-binding	interpro	homologous_superfamily		SSF49493	GO:0051082,GO:0006457
IPR009025	DNA-directed RNA polymerase, RBP11-like dimerisation domain	interpro	domain		PF13656	GO:0046983,GO:0006351
IPR009044	ssDNA-binding transcriptional regulator	interpro	homologous_superfamily		SSF54447,G3DSA:2.30.31.10	GO:0003677,GO:0006355
IPR009052	DNA polymerase III-theta, bacterial	interpro	family		PF06440	GO:0003677,GO:0003887,GO:0006260
IPR009061	Putative DNA-binding domain superfamily	interpro	homologous_superfamily		SSF46955	
IPR009295	S. aureus uracil DNA glycosylase inhibitor	interpro	family		PF06106	
IPR009351	DNA glycosylase AlkZ-like	interpro	family		PF06224	
IPR009394	DNA repair protein MmcB-like	interpro	family		PIRSF031796,PF06319	
IPR009595	Bacteriophage DNA replication protein Gp16.7	interpro	family		PF06720	GO:0039693
IPR009674	DNA-directed RNA polymerase I subunit RPA2, domain 4	interpro	domain		PF06883	GO:0003899,GO:0006351,GO:0005634
IPR009718	Rex DNA-binding, C-terminal domain	interpro	domain		PF06971	GO:0045892,GO:0051775
IPR009767	DNA helicase, TraI type, C-terminal	interpro	domain		PF07057	GO:0003677,GO:0003678,GO:0005524,GO:0016818
