Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF02598	Putative RNA methyltransferase	pfam	family	IPR003750		
PF02620	Large ribosomal RNA subunit accumulation protein YceD	pfam	family	IPR003772		
PF02686	Glu-tRNAGln amidotransferase C subunit	pfam	family	IPR003837		
PF02778	tRNA intron endonuclease, N-terminal domain	pfam	domain	IPR006678		
PF02912	Aminoacyl tRNA synthetase class II, N-terminal domain	pfam	domain	IPR004188		
PF02940	mRNA capping enzyme, beta chain	pfam	domain	IPR004206		
PF03035	Calicivirus putative RNA polymerase/capsid protein	pfam	family	IPR004278		
PF03042	Birnavirus VP5 protein	pfam	family	IPR004284		
PF03054	tRNA methyl transferase HUP domain	pfam	domain			
PF03118	Bacterial RNA polymerase, alpha chain C terminal domain	pfam	domain	IPR011260		
PF03123	CAT RNA binding domain	pfam	domain	IPR004341		
PF03139	Vanadium/alternative nitrogenase delta subunit	pfam	family	IPR004349		
PF03291	mRNA (guanine-N(7))-methyltransferase domain	pfam	domain	IPR004971		
PF03293	Poxvirus DNA-directed RNA polymerase, 18 kD subunit	pfam	family	IPR004973		
PF03294	RNA polymerase-associated transcription specificity factor, Rap94	pfam	family	IPR004974		
PF03341	Poxvirus mRNA capping enzyme, small subunit	pfam	family	IPR005009		
PF03396	Poxvirus DNA-directed RNA polymerase, 35 kD subunit	pfam	family	IPR005059		
PF03431	RNA replicase, beta-chain	pfam	family	IPR005093		
PF03439	Early transcription elongation factor of RNA pol II, NGN section	pfam	family	IPR005100		
PF03484	tRNA synthetase B5 domain	pfam	domain	IPR005147		
PF03485	Arginyl tRNA synthetase N terminal domain	pfam	domain	IPR005148		
PF03515	Colicin-like bacteriocin tRNase domain	pfam	family	IPR016128		
PF03588	Leucyl/phenylalanyl-tRNA protein transferase	pfam	family	IPR004616		
PF03604	DNA directed RNA polymerase, 7 kDa subunit	pfam	domain	IPR006591		
PF03725	3' exoribonuclease family, domain 2	pfam	domain	IPR015847		
PF03726	Polyribonucleotide nucleotidyltransferase, RNA binding domain	pfam	domain	IPR015848		
PF03841	L-seryl-tRNA selenium transferase	pfam	domain	IPR018319		
PF03870	RNA polymerase Rpb8	pfam	family	IPR005570		
PF03871	RNA polymerase Rpb5, N-terminal domain	pfam	domain	IPR005571		
PF03874	RNA polymerase Rpb4	pfam	family	IPR005574		
PF03880	DbpA RNA binding domain	pfam	domain	IPR005580		
PF03889	Alternative ribosome-rescue factor A	pfam	domain	IPR005589		
PF03919	mRNA capping enzyme, C-terminal domain	pfam	domain	IPR013846		
PF03950	tRNA synthetases class I (E and Q), anti-codon binding domain	pfam	domain	IPR020059		
PF04013	Putative SAM-dependent RNA methyltransferase	pfam	family	IPR007158		
PF04032	RNAse P Rpr2/Rpp21/SNM1 subunit domain	pfam	family	IPR007175		
PF04059	RNA recognition motif 2	pfam	family	IPR007201		
PF04068	Possible Fer4-like domain in RNase L inhibitor, RLI	pfam	family	IPR007209		
PF04073	Aminoacyl-tRNA editing domain	pfam	family	IPR007214		
PF04090	RNA polymerase I-specific transcription initiation factor Rrn11	pfam	repeat	IPR007224		
PF04135	Nucleolar RNA-binding protein, Nop10p family	pfam	family	IPR007264		
PF04179	Rit1 DUSP-like domain	pfam	domain	IPR033421		
PF04196	Bunyavirus RNA dependent RNA polymerase	pfam	family	IPR007322		
PF04197	Birnavirus RNA dependent RNA polymerase (VP1), palm domain	pfam	domain	IPR007100		
PF04287	tRNA pseudouridine synthase C	pfam	family	IPR023376		
PF04308	Ribonuclease H-like	pfam	family	IPR007405		
PF04353	Regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ	pfam	family	IPR007448		
PF04376	Arginine-tRNA-protein transferase, N terminus	pfam	family	IPR007471		
PF04377	Arginine-tRNA-protein transferase, C terminus	pfam	family	IPR007472		
PF04378	Ribosomal RNA large subunit methyltransferase D, RlmJ	pfam	domain	IPR007473		
PF04410	Gar1/Naf1 RNA binding region	pfam	domain	IPR007504		
PF04414	D-aminoacyl-tRNA deacylase	pfam	family	IPR007508		
PF04446	tRNAHis guanylyltransferase	pfam	domain	IPR024956		
PF04452	RNA methyltransferase domain	pfam	domain	IPR046886		
PF04457	MJ1316 RNA cyclic group end recognition domain	pfam	domain	IPR040459		
PF04521	ssRNA positive strand viral 18kD cysteine rich protein	pfam	family	IPR007609		
PF04557	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 2	pfam	family	IPR007638		
PF04558	Glutaminyl-tRNA synthetase, non-specific RNA binding region part 1	pfam	family	IPR007639		
PF04560	RNA polymerase Rpb2, domain 7	pfam	domain	IPR007641		
PF04561	RNA polymerase Rpb2, domain 2	pfam	domain	IPR007642		
PF04563	RNA polymerase beta subunit	pfam	family	IPR007644		
PF04565	RNA polymerase Rpb2, domain 3	pfam	domain	IPR007645		
PF04566	RNA polymerase Rpb2, domain 4	pfam	domain	IPR007646		
PF04567	RNA polymerase Rpb2, domain 5	pfam	domain	IPR007647		
PF04774	Hyaluronan / mRNA binding family	pfam	family	IPR006861		
PF04816	tRNA (adenine(22)-N(1))-methyltransferase	pfam	family	IPR006901		
PF04845	PurA ssDNA and RNA-binding protein	pfam	family	IPR006628		
PF04926	Poly(A) polymerase predicted RNA binding domain	pfam	domain	IPR007010		
PF04983	RNA polymerase Rpb1, domain 3	pfam	domain	IPR007066		
PF04990	RNA polymerase Rpb1, domain 7	pfam	domain	IPR007073		
PF04992	RNA polymerase Rpb1, domain 6	pfam	domain	IPR007075		
PF04997	RNA polymerase Rpb1, domain 1	pfam	domain	IPR007080		
PF04998	RNA polymerase Rpb1, domain 5	pfam	domain	IPR007081		
PF05000	RNA polymerase Rpb1, domain 4	pfam	domain	IPR007083		
PF05001	RNA polymerase Rpb1 C-terminal repeat	pfam	repeat	IPR000684		
PF05132	RNA polymerase III RPC4	pfam	family	IPR007811		
PF05158	RNA polymerase Rpc34 subunit	pfam	family	IPR007832		
PF05172	Nup53/35/40-type RNA recognition motif	pfam	domain	IPR007846		
PF05179	RNA pol II accessory factor, Cdc73 family, C-terminal	pfam	domain	IPR031336		
PF05183	RNA dependent RNA polymerase	pfam	family	IPR007855		
PF05189	RNA 3'-terminal phosphate cyclase (RTC), insert domain	pfam	domain	IPR013791		
PF05201	Glutamyl-tRNAGlu reductase, N-terminal domain	pfam	domain	IPR015895		
PF05273	Poxvirus RNA polymerase 22 kDa subunit	pfam	family	IPR007937		
PF05320	Poxvirus DNA-directed RNA polymerase 19 kDa subunit	pfam	family	IPR007984		
PF05327	RNA polymerase I specific transcription initiation factor RRN3	pfam	repeat	IPR007991		
PF05634	APO RNA-binding	pfam	family	IPR023342		
PF05635	23S rRNA-intervening sequence protein	pfam	family	IPR012657		
PF05645	RNA polymerase III subunit RPC82	pfam	family	IPR008806		
PF05652	Scavenger mRNA decapping enzyme (DcpS) N-terminal	pfam	family	IPR008594		
PF05670	NFACT protein RNA binding domain	pfam	domain	IPR008532		
PF05741	Nanos RNA binding domain	pfam	family	IPR024161		
PF05788	Orbivirus RNA-dependent RNA polymerase (VP1)	pfam	family	IPR008723		
PF05864	Chordopoxvirus DNA-directed RNA polymerase 7 kDa polypeptide (RPO7)	pfam	family	IPR008448		
PF05889	O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS	pfam	domain	IPR008829		
PF05890	Eukaryotic rRNA processing protein EBP2	pfam	family	IPR008610		
PF05919	Mitovirus RNA-dependent RNA polymerase	pfam	family	IPR008686		
PF05958	tRNA (Uracil-5-)-methyltransferase	pfam	family	IPR010280		
PF05971	RNA methyltransferase	pfam	family	IPR010286		
PF06102	rRNA biogenesis protein RRP36	pfam	family	IPR009292		
PF06175	tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE)	pfam	domain	IPR010386		
PF06208	Borna disease virus G protein	pfam	family	IPR009344		
PF06308	23S rRNA methylastransferase leader peptide (ErmCL)	pfam	family	IPR009391		
PF06317	Arenavirus RNA polymerase	pfam	family	IPR010453		
PF06363	Picornaviridae P3A protein	pfam	family	IPR009419		
PF06407	Borna disease virus P40 protein	pfam	family	IPR009441		
PF06478	Coronavirus RNA-dependent RNA polymerase, N-terminal	pfam	domain	IPR009469		
PF06485	RNA-binding protein Tab2/Atab2 N terminal	pfam	domain	IPR046760		
PF06515	Borna disease virus P10 protein	pfam	family	IPR009485		
PF06595	Borna disease virus P24 protein	pfam	family	IPR009517		
PF06807	Pre-mRNA cleavage complex II protein Clp1	pfam	family	IPR010655		
PF06870	A49-like RNA polymerase I associated factor	pfam	family	IPR009668		
PF06881	RNA polymerase II transcription factor SIII (Elongin) subunit A	pfam	family	IPR010684		
PF06883	RNA polymerase I, Rpa2 specific domain	pfam	domain	IPR009674		
PF06956	Regulator of RNA terminal phosphate cyclase	pfam	family	IPR009715		
PF06962	Putative rRNA methylase	pfam	family	IPR010719		
PF06991	Microfibril-associated/Pre-mRNA processing	pfam	family	IPR009730		
PF07091	Ribosomal RNA methyltransferase (FmrO)	pfam	family	IPR025981		
PF07234	Movement and RNA silencing protein	pfam	family	IPR009871		
PF07288	RNA polymerase epsilon subunit	pfam	domain	IPR009907		
PF07304	Steroid receptor RNA activator (SRA1)	pfam	family	IPR009917		
PF07322	Seadornavirus Vp10	pfam	family	IPR009930		
PF07387	Seadornavirus VP7	pfam	family	IPR009973		
PF07407	Seadornavirus VP6 protein	pfam	family	IPR009982		
PF07497	Rho termination factor, RNA-binding domain	pfam	domain	IPR011113		
PF07521	Zn-dependent metallo-hydrolase RNA specificity domain	pfam	conserved_site	IPR011108		
PF07539	U3 small nucleolar RNA-associated protein 20, N-terminal	pfam	domain	IPR011430		
PF07544	RNA polymerase II transcription mediator complex subunit 9	pfam	family	IPR011425		
PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)	pfam	family	IPR013103		
PF07925	Reovirus RNA-dependent RNA polymerase lambda 3	pfam	family	IPR012915		
PF07973	Threonyl and Alanyl tRNA synthetase second additional domain	pfam	domain	IPR012947		
PF08032	RNA 2'-O ribose methyltransferase substrate binding	pfam	domain	IPR013123		
PF08136	Ribosome hibernation factor SRA	pfam	family	IPR012607		
PF08161	Ribosomal RNA-processing protein 12, HEAT repeats	pfam	repeat	IPR012978		
PF08167	rRNA processing/ribosome biogenesis	pfam	repeat	IPR012583		
PF08203	Yeast RNA polymerase I subunit RPA14	pfam	family	IPR013239		
PF08208	DNA-directed RNA polymerase I subunit RPA34.5	pfam	family	IPR013240		
PF08213	Mitochondrial mRNA-processing protein COX24, C-terminal	pfam	domain	IPR013177		
PF08221	RNA polymerase III subunit RPC82 helix-turn-helix domain	pfam	domain	IPR013197		
PF08228	RNase P subunit Pop3	pfam	family	IPR013241		
PF08264	Anticodon-binding domain of tRNA ligase	pfam	domain	IPR013155		
PF08292	RNA polymerase III subunit Rpc25	pfam	domain	IPR013238		
PF08297	U3 snoRNA associated	pfam	family	IPR013268		
PF08302	Fungal tRNA ligase phosphodiesterase domain	pfam	domain	IPR015965		
PF08303	tRNA ligase kinase domain	pfam	domain	IPR015966		
PF08315	cwf18 pre-mRNA splicing factor	pfam	family	IPR013169		
PF08351	tRNA(Met) cytidine acetyltransferase TmcA, N-terminal	pfam	family	IPR013562		
PF08424	NRDE-2, necessary for RNA interference	pfam	family	IPR013633		
PF08459	UvrC RNAse H endonuclease domain	pfam	domain	IPR001162		
PF08467	Luteovirus RNA polymerase P1-P2/replicase	pfam	family	IPR013674		
PF08492	SRP72 RNA-binding domain	pfam	domain	IPR013699		
PF08524	rRNA processing	pfam	domain	IPR013730		
PF08572	pre-mRNA processing factor 3 domain	pfam	domain	IPR013881		
PF08615	Ribonuclease H2 non-catalytic subunit (Ylr154p-like)	pfam	family	IPR013924		
PF08640	U3 small nucleolar RNA-associated protein 6	pfam	family	IPR013949		
PF08675	RNA binding domain	pfam	domain	IPR014789		
PF08698	Fcf2 pre-rRNA processing	pfam	family	IPR014810		
PF08704	tRNA methyltransferase complex GCD14 subunit	pfam	family	IPR049470		
PF08777	RNA binding motif	pfam	domain	IPR014886		
PF08799	pre-mRNA processing factor 4 (PRP4) like	pfam	domain	IPR014906		
PF08915	Archaea-specific editing domain of threonyl-tRNA synthetase	pfam	domain	IPR015011		
PF09142	tRNA Pseudouridine synthase II, C terminal	pfam	domain	IPR015225		
PF09159	Mitochondrial resolvase Ydc2 / RNA splicing MRS1	pfam	domain	IPR015242		
PF09162	Tap, RNA-binding	pfam	domain	IPR015245		
PF09180	Prolyl-tRNA synthetase, C-terminal	pfam	domain	IPR016061		
PF09181	Prolyl-tRNA synthetase, C-terminal	pfam	domain	IPR015264		
PF09187	RNA-directed DNA methylation 1	pfam	domain	IPR015270		
PF09249	tRNA nucleotidyltransferase, second domain	pfam	domain	IPR015329		
PF09293	T4 RNase H, C terminal	pfam	domain	IPR036276		
PF09334	tRNA synthetases class I (M)	pfam	family	IPR015413		
PF09387	Mitochondrial RNA binding protein MRP	pfam	domain	IPR032680		
PF09401	Coronavirus RNA synthesis protein NSP10	pfam	family	IPR018995		
PF09414	RNA ligase	pfam	family	IPR021122		
PF09416	RNA helicase (UPF2 interacting domain)	pfam	domain	IPR018999		
PF09445	RNA cap guanine-N2 methyltransferase	pfam	family	IPR019012		
PF09468	Ydr279p protein family (RNase H2 complex component) wHTH domain	pfam	domain	IPR019024		
PF09511	RNA ligase	pfam	family	IPR019039		
PF09692	Argonaute siRNA chaperone (ARC) complex subunit Arb1	pfam	family	IPR018606		
PF09734	RNA polymerase III transcription factor (TF)IIIC subunit HTH domain	pfam	family	IPR019136		
PF09736	Pre-mRNA-splicing factor of RES complex	pfam	family	IPR018609		
PF09750	Alternative splicing regulator	pfam	domain	IPR019147		
PF09808	Small nuclear RNA activating complex (SNAPc), subunit 1	pfam	family	IPR019188		
PF09816	RNA polymerase II transcription elongation factor	pfam	domain	IPR019194		
PF09848	Schlafen group 3, DNA/RNA helicase domain	pfam	domain	IPR018647		
PF09936	SAM-dependent RNA methyltransferase	pfam	family	IPR019230		
PF10036	RNA transcription, translation and transport factor protein	pfam	family	IPR019265		
PF10127	RNA repair pathway DNA polymerase beta family	pfam	family	IPR018775		
PF10150	Ribonuclease E/G family	pfam	family	IPR019307		
PF10153	rRNA-processing protein Efg1	pfam	family	IPR019310		
PF10232	Mediator of RNA polymerase II transcription complex subunit 8	pfam	family	IPR019364		
PF10255	RNA polymerase I-associated factor PAF67	pfam	repeat	IPR019382		
PF10258	Phosphorylated adapter RNA export protein, RNA-binding domain	pfam	domain	IPR019385		
PF10273	Pre-rRNA-processing protein TSR2	pfam	family	IPR019398		
PF10278	Mediator of RNA pol II transcription subunit 19	pfam	family	IPR019403		
PF10288	Cytoplasmic tRNA 2-thiolation protein 2	pfam	family	IPR019407		
PF10304	Required for nuclear transport of RNA pol II C-terminus 2	pfam	repeat	IPR019414		
PF10307	HAD domain family 1 in Swiss Army Knife RNA repair proteins	pfam	domain	IPR018812		
PF10354	rRNA (uridine-N3-)-methyltransferase BTM5-like	pfam	domain	IPR019446		
PF10363	Required for nuclear transport of RNA pol II C-terminus 1	pfam	repeat	IPR019451		
PF10373	Est1 DNA/RNA binding domain	pfam	repeat	IPR018834		
PF10385	RNA polymerase beta subunit external 1 domain	pfam	domain	IPR019462		
PF10390	RNA polymerase II elongation factor ELL	pfam	family	IPR019464		
PF10429	Nuclear pore RNA shuttling protein Mtr2	pfam	domain	IPR019488		
PF10443	RNA12 protein	pfam	family	IPR018850		
PF10458	Valyl tRNA synthetase tRNA binding arm	pfam	domain	IPR019499		
PF10469	AKAP7 2'5' RNA ligase-like domain	pfam	domain	IPR019510		
PF10477	Nucleocytoplasmic shuttling protein for mRNA cap-binding EIF4E	pfam	family	IPR018862		
PF10500	Nuclear RNA-splicing-associated protein	pfam	disordered	IPR019532		
PF10567	RNA-recognition motif	pfam	domain	IPR018885		
PF10596	U6-snRNA interacting domain of PrP8	pfam	domain	IPR019580		
PF10597	U5-snRNA binding site 2 of PrP8	pfam	domain	IPR019581		
PF10598	RNA recognition motif of the spliceosomal PrP8	pfam	domain	IPR019582		
PF10640	mRNA capping enzyme catalytic subunit, RNA triphosphatase domain	pfam	domain	IPR019602		
PF10680	RNA polymerase I specific transcription initiation factor	pfam	domain	IPR019622		
PF10744	Mediator of RNA polymerase II transcription subunit 1	pfam	domain	IPR019680		
PF10789	Phage RNA polymerase binding, RpbA	pfam	family	IPR019725		
PF10997	Alternate to MurJ	pfam	family	IPR021260		
PF11035	Small nuclear RNA activating complex (SNAPc), subunit 2	pfam	family	IPR021281		
PF11128	Plant viral coat protein nucleocapsid	pfam	family	IPR021310		
PF11435	RNA binding protein She2p	pfam	family	IPR024261		
PF11473	RNA binding protein B2	pfam	family	IPR024377		
PF11479	RNA silencing suppressor P21 C-terminal domain	pfam	domain	IPR021575		
PF11517	Nuclear abundant poly(A) RNA-bind protein 2 (Nab2)	pfam	family	IPR021083		
PF11599	RRNA methyltransferase AviRa	pfam	family	IPR024268		
PF11602	ATPase P4 of dsRNA bacteriophage phi-12	pfam	family	IPR020973		
PF11608	MARF1, RNA recognition motif 1	pfam	domain	IPR034189		
PF11705	DNA-directed RNA polymerase III subunit Rpc31	pfam	family	IPR024661		
PF11708	Pre-mRNA splicing Prp18-interacting factor	pfam	domain	IPR021715		
PF11717	RNA binding activity-knot of a chromodomain	pfam	family	IPR025995		
PF11718	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term	pfam	domain	IPR021718		
PF11757	Suppressor of RNA silencing P21-like N-terminal domain	pfam	domain	IPR021742		
PF11772	DNA-directed RNA polymerase subunit beta	pfam	family	IPR024596		
PF11781	Zinc-finger of RNA-polymerase I-specific TFIIB, Rrn7	pfam	domain	IPR021752		
PF11821	Alternative complex III, ActD subunit	pfam	family	IPR021776		
PF11831	pre-mRNA splicing factor component	pfam	family	IPR021786		
PF11861	Ribosomal RNA methyltransferase Spb1, DUF3381	pfam	domain	IPR024576		
PF11955	Plant organelle RNA recognition domain	pfam	family	IPR021099		
PF11968	25S rRNA (adenine(2142)-N(1))-methyltransferase, Bmt2	pfam	family	IPR021867		
PF11969	Scavenger mRNA decapping enzyme C-term binding	pfam	family			
PF11977	Zc3h12a-like Ribonuclease NYN domain	pfam	domain	IPR021869		
PF12009	Telomerase ribonucleoprotein complex - RNA binding domain	pfam	domain	IPR021891		
PF12011	RNA helicase NPH-II	pfam	family	IPR021892		
PF12072	RNase Y N-terminal region	pfam	coiled_coil	IPR022711		
PF12105	SpoU, rRNA methylase, C-terminal	pfam	family	IPR022724		
PF12136	RNA polymerase Rpo13 subunit HTH domain	pfam	domain	IPR021985		
PF12137	RNA polymerase recycling family C-terminal	pfam	domain	IPR022737		
PF12171	Zinc-finger double-stranded RNA-binding	pfam	family	IPR022755		
PF12230	Pre-mRNA splicing factor PRP21 like protein	pfam	family	IPR022030		
PF12246	Temperature dependent protein affecting M2 dsRNA replication	pfam	family	IPR022039		
PF12247	Temperature dependent protein affecting M2 dsRNA replication	pfam	family	IPR022040		
PF12251	snRNA-activating protein complex (SNAPc), subunit 3	pfam	family	IPR022042		
PF12300	ATP-dependent RNA helicase RhlB	pfam	family	IPR022077		
PF12328	Rpp20 subunit of nuclear RNase MRP and P	pfam	family	IPR014612		
PF12354	Bacterial adhesion/invasion protein N terminal	pfam	domain	IPR024634		
PF12397	U3 small nucleolar RNA-associated protein 10	pfam	family	IPR022125		
PF12410	Poxvirus DNA dependent RNA polymerase 30kDa subunit	pfam	family	IPR024394		
PF12415	Poxvirus DNA dependent RNA polymerase	pfam	family	IPR024390		
PF12426	RNA dependent RNA polymerase	pfam	family	IPR024378		
PF12460	RNAPII transcription regulator C-terminal	pfam	repeat	IPR024687		
PF12462	DNA helicase IV / RNA helicase N terminal	pfam	family	IPR022161		
PF12513	Mitochondrial degradasome RNA helicase subunit C terminal	pfam	family	IPR022192		
PF12542	Pre-mRNA splicing factor	pfam	family	IPR022209		
PF12603	RNA-directed RNA polymerase L, PA-C-like domain	pfam	domain	IPR022531		
PF12622	mRNA biogenesis factor	pfam	domain			
PF12623	RNA repair, ligase-Pnkp-associating, region of Hen1	pfam	domain	IPR024740		
PF12627	Probable RNA and SrmB- binding site of polymerase A	pfam	domain	IPR032828		
PF12639	DNase/tRNase domain of colicin-like bacteriocin	pfam	domain			
PF12699	phiKZ-like phage internal head proteins	pfam	family	IPR024413		
PF12703	Toxin of toxin-antitoxin type 1 system	pfam	family	IPR024640		
PF12745	Anticodon binding domain of tRNAs	pfam	domain	IPR024435		
PF12767	Transcriptional regulator of RNA polII, SAGA, subunit	pfam	family	IPR024738		
PF12793	Sugar transport-related sRNA regulator N-term	pfam	family	IPR025370		
PF12869	tRNA_anti-like	pfam	domain	IPR024422		
PF12871	Pre-mRNA-splicing factor 38-associated hydrophilic C-term	pfam	domain	IPR024767		
PF12923	Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain	pfam	domain	IPR024326		
PF12928	tRNA-splicing endonuclease subunit sen54 N-term	pfam	domain	IPR024336		
PF13017	piRNA pathway germ-plasm component	pfam	family	IPR024970		
PF13032	RNaseH domain of pPIWI_RE	pfam	domain	IPR024996		
PF13393	Histidyl-tRNA synthetase	pfam	domain	IPR041715		
PF13397	RNA polymerase-binding protein	pfam	family	IPR025182		
